color,CMC,value
Black,1,6
Black,2,12
Black,3,10
Black,4,6
Black,5,6
Black,6,1
Black,7,2
Black,8,1
Black,9,0
Black,12,1
Blue,1,7
Blue,2,12
Blue,3,15
Blue,4,3
Blue,5,5
Blue,6,2
Blue,7,2
Blue,8,0
Blue,9,1
Blue,12,0
Green,1,5
Green,2,8
Green,3,5
Green,4,2
Green,5,1
Green,6,1
Green,7,1
Green,8,0
Green,9,0
Green,12,0
Red,1,6
Red,2,14
Red,3,7
Red,4,9
Red,5,3
Red,6,4
Red,7,3
Red,8,0
Red,9,1
Red,12,0
White,1,0
White,2,8
White,3,8
White,4,15
White,5,4
White,6,5
White,7,0
White,8,0
White,9,0
White,12,0
Multi,1,5
Multi,2,12
Multi,3,11
Multi,4,10
Multi,5,5
Multi,6,1
Multi,7,1
Multi,8,0
Multi,9,0
Multi,12,0
Colorless,1,9
Colorless,2,13
Colorless,3,11
Colorless,4,5
Colorless,5,5
Colorless,6,3
Colorless,7,2
Colorless,8,0
Colorless,9,0
Colorless,12,0
