Name,Set,Rarity,Price
Mystic Sanctuary,ELD,C,0.49
Swamp (258),ELD,C,0.39
Forest (266),ELD,C,0.37
Island (254),ELD,C,0.36
Mountain (262),ELD,C,0.25
Witch's Cottage,ELD,C,0.25
Gingerbrute,ELD,C,0.22
Plains (250),ELD,C,0.21
Seven Dwarves,ELD,C,0.2
Opt,ELD,C,0.2
Merfolk Secretkeeper,ELD,C,0.2
Thrill of Possibility,ELD,C,0.2
Merchant of the Vale,ELD,C,0.2
Idyllic Grange,ELD,C,0.2
Witching Well,ELD,C,0.19
Didn't Say Please,ELD,C,0.18
Crashing Drawbridge,ELD,C,0.18
Embereth Paladin,ELD,C,0.18
Henge Walker,ELD,C,0.18
Gingerbread Cabin,ELD,C,0.18
Return to Nature,ELD,C,0.18
Wishful Merfolk,ELD,C,0.18
Youthful Knight,ELD,C,0.18
Dwarven Mine,ELD,C,0.18
So Tiny,ELD,C,0.17
Unexplained Vision,ELD,C,0.17
Scorching Dragonfire,ELD,C,0.17
Faerie Guidemother,ELD,C,0.17
Weaselback Redcap,ELD,C,0.17
Corridor Monitor,ELD,C,0.17
Knight of the Keep,ELD,C,0.17
Shining Armor,ELD,C,0.17
Trapped in the Tower,ELD,C,0.17
Wicked Guardian,ELD,C,0.17
Wildwood Tracker,ELD,C,0.17
Brimstone Trebuchet,ELD,C,0.17
Beloved Princess,ELD,C,0.17
Crystal Slipper,ELD,C,0.17
Tempting Witch,ELD,C,0.17
Golden Egg,ELD,C,0.17
Wolf's Quarry,ELD,C,0.17
Outflank,ELD,C,0.17
Signpost Scarecrow,ELD,C,0.17
Smitten Swordmaster,ELD,C,0.16
Foreboding Fruit,ELD,C,0.16
Garenbrig Squire,ELD,C,0.16
Vantress Paladin,ELD,C,0.16
Fell the Pheasant,ELD,C,0.16
Moonlit Scavengers,ELD,C,0.16
Barge In,ELD,C,0.16
Silverflame Ritual,ELD,C,0.16
Bake into a Pie,ELD,C,0.16
Tall as a Beanstalk,ELD,C,0.16
Raging Redcap,ELD,C,0.16
Ogre Errant,ELD,C,0.16
Lost Legion,ELD,C,0.16
Garenbrig Paladin,ELD,C,0.16
Curious Pair,ELD,C,0.16
True Love's Kiss,ELD,C,0.16
Forever Young,ELD,C,0.16
Eye Collector,ELD,C,0.16
Tome Raider,ELD,C,0.16
Run Away Together,ELD,C,0.16
Mantle of Tides,ELD,C,0.16
Rimrock Knight,ELD,C,0.16
Fling,ELD,C,0.16
Weapon Rack,ELD,C,0.16
Steelgaze Griffin,ELD,C,0.16
Swamp (261),ELD,C,0.15
Rosethorn Acolyte,ELD,C,0.15
Rosethorn Halberd,ELD,C,0.15
Locthwain Paladin,ELD,C,0.15
Festive Funeral,ELD,C,0.15
Ardenvale Paladin,ELD,C,0.15
Ardenvale Tactician,ELD,C,0.15
Roving Keep,ELD,C,0.15
Queen of Ice,ELD,C,0.15
Redcap Raiders,ELD,C,0.15
Mistford River Turtle,ELD,C,0.15
Bartered Cow,ELD,C,0.15
Fortifying Provisions,ELD,C,0.15
Giant's Skewer,ELD,C,0.15
Searing Barrage,ELD,C,0.15
Blow Your House Down,ELD,C,0.15
Outmuscle,ELD,C,0.15
Jousting Dummy,ELD,C,0.15
Insatiable Appetite,ELD,C,0.15
Maraleaf Rider,ELD,C,0.15
Reave Soul,ELD,C,0.15
Bloodhaze Wolverine,ELD,C,0.15
Fierce Witchstalker,ELD,C,0.15
Lonesome Unicorn,ELD,C,0.15
Reaper of Night,ELD,C,0.15
Flutterfox,ELD,C,0.15
Prized Griffin,ELD,C,0.15
Charmed Sleep,ELD,C,0.15
Barrow Witches,ELD,C,0.15
Lash of Thorns,ELD,C,0.15
Malevolent Noble,ELD,C,0.15
Memory Theft,ELD,C,0.15
Sporecap Spider,ELD,C,0.15
Prophet of the Peak,ELD,C,0.15
Scalding Cauldron,ELD,C,0.15
Locthwain Gargoyle,ELD,C,0.15
Garenbrig Carver,ELD,C,0.15
Silverflame Squire,ELD,C,0.15
Tuinvale Treefolk,ELD,C,0.15
Forest (268),ELD,C,0.14
Mountain (265),ELD,C,0.14
Swamp (260),ELD,C,0.14
Island (257),ELD,C,0.13
Plains (253),ELD,C,0.13
Swamp (259),ELD,C,0.13
Island (256),ELD,C,0.12
Mountain (264),ELD,C,0.12
Island (255),ELD,C,0.11
Forest (269),ELD,C,0.1
Plains (252),ELD,C,0.1
Forest (267),ELD,C,0.1
Plains (251),ELD,C,0.1
Mountain (263),ELD,C,0.1
The Great Henge,ELD,Mythic,18.65
Brazen Borrower,ELD,Mythic,15
"Oko, Thief of Crowns",ELD,Mythic,13.15
Questing Beast,ELD,Mythic,12
Embercleave,ELD,Mythic,10.91
Robber of the Rich,ELD,Mythic,5.91
"Rankle, Master of Pranks",ELD,Mythic,5.71
The Royal Scions,ELD,Mythic,5.4
"Garruk, Cursed Huntsman",ELD,Mythic,3.07
The Magic Mirror,ELD,Mythic,2.09
The Circle of Loyalty,ELD,Mythic,1.27
The Cauldron of Eternity,ELD,Mythic,1.14
Realm-Cloaked Giant,ELD,Mythic,1.05
Outlaws' Merriment,ELD,Mythic,0.99
Harmonious Archon,ELD,Mythic,0.72
Fabled Passage,ELD,Rare,11.99
Murderous Rider,ELD,Rare,3.06
Stonecoil Serpent,ELD,Rare,3
Once Upon a Time,ELD,Rare,2.95
Gilded Goose,ELD,Rare,2.75
Castle Garenbrig,ELD,Rare,2.7
Castle Ardenvale,ELD,Rare,2.32
Castle Locthwain,ELD,Rare,2.27
"Emry, Lurker of the Loch",ELD,Rare,2.19
"Ayara, First of Locthwain",ELD,Rare,1.99
Mirrormade,ELD,Rare,1.5
Faeburrow Elder,ELD,Rare,1.48
"Torbran, Thane of Red Fell",ELD,Rare,1.47
Castle Vantress,ELD,Rare,1.25
Bonecrusher Giant,ELD,Rare,1.2
Hushbringer,ELD,Rare,1.19
Return of the Wildspeaker,ELD,Rare,1
Charming Prince,ELD,Rare,0.99
"Gadwick, the Wizened",ELD,Rare,0.99
Castle Embereth,ELD,Rare,0.97
Fires of Invention,ELD,Rare,0.91
Fervent Champion,ELD,Rare,0.89
Wishclaw Talisman,ELD,Rare,0.7
Fae of Wishes,ELD,Rare,0.64
Dance of the Manse,ELD,Rare,0.6
Wicked Wolf,ELD,Rare,0.59
"Yorvo, Lord of Garenbrig",ELD,Rare,0.59
Lovestruck Beast,ELD,Rare,0.55
Vantress Gargoyle,ELD,Rare,0.52
"Linden, the Steadfast Queen",ELD,Rare,0.5
Doom Foretold,ELD,Rare,0.5
Worthy Knight,ELD,Rare,0.5
Stormfist Crusader,ELD,Rare,0.5
Irencrag Pyromancer,ELD,Rare,0.49
Sorcerous Spyglass,ELD,Rare,0.49
Midnight Clock,ELD,Rare,0.48
Clackbridge Troll,ELD,Rare,0.48
Wildborn Preserver,ELD,Rare,0.46
Feasting Troll King,ELD,Rare,0.46
Blacklance Paragon,ELD,Rare,0.44
Irencrag Feat,ELD,Rare,0.43
Folio of Fancies,ELD,Rare,0.43
Giant Killer,ELD,Rare,0.42
Piper of the Swarm,ELD,Rare,0.42
