Name,Set,Rarity,Price
Fiend Artisan,IKO,Mythic,34.48
Luminous Broodmoth,IKO,Mythic,23.99
Lurrus of the Dream Den,IKO,Rare,22.58
"Kinnan, Bonder Prodigy",IKO,Mythic,19.99
"Rielle, the Everwise",IKO,Mythic,18.94
"Vivien, Monsters' Advocate",IKO,Mythic,15.1
Narset of the Ancient Way,IKO,Mythic,14.49
General Kudro of Drannith,IKO,Mythic,12.49
"Winota, Joiner of Forces",IKO,Mythic,11.49
Raugrin Triome,IKO,Rare,11.29
Ketria Triome,IKO,Rare,10.99
Indatha Triome,IKO,Rare,10.16
Savai Triome,IKO,Rare,10.15
"Lukka, Coppercoat Outcast",IKO,Mythic,10.11
Zagoth Triome,IKO,Rare,9.99
"Gyruda, Doom of Depths",IKO,Rare,9.99
"Nethroi, Apex of Death",IKO,Mythic,9.91
"Illuna, Apex of Wishes",IKO,Mythic,9.58
The Ozolith,IKO,Rare,9.49
"Vadrok, Apex of Thunder",IKO,Mythic,8.33
Sea-Dasher Octopus,IKO,Rare,7.57
"Snapdax, Apex of the Hunt",IKO,Mythic,7.07
"Chevill, Bane of Monsters",IKO,Mythic,6.99
Drannith Magistrate,IKO,Rare,6.56
"Brokkos, Apex of Forever",IKO,Mythic,6.06
Shark Typhoon,IKO,Rare,6.01
"Zirda, the Dawnwaker",IKO,Rare,5.29
"Yorion, Sky Nomad",IKO,Rare,5.05
"Yidaro, Wandering Monster",IKO,Rare,5
Song of Creation,IKO,Rare,3.84
Eerie Ultimatum,IKO,Rare,2.69
Ruinous Ultimatum,IKO,Rare,2.69
Mythos of Nethroi,IKO,Rare,2.31
"Kaheera, the Orphanguard",IKO,Rare,2
"Jegantha, the Wellspring",IKO,Rare,2
Bonders' Enclave,IKO,Rare,2
Heartless Act,IKO,U,1.99
Gemrazer,IKO,Rare,1.99
Emergent Ultimatum,IKO,Rare,1.97
"Obosh, the Preypiercer",IKO,Rare,1.84
Slitherwisp,IKO,Rare,1.82
Sprite Dragon,IKO,U,1.81
Whirlwind of Thought,IKO,Rare,1.72
"Umori, the Collector",IKO,Rare,1.69
Genesis Ultimatum,IKO,Rare,1.49
Everquill Phoenix,IKO,Rare,1.31
Titans' Nest,IKO,Rare,1.15
"Keruga, the Macrosage",IKO,Rare,1.1
Migration Path,IKO,U,1
"Lutri, the Spellchaser",IKO,Rare,1
"Kogla, the Titan Ape",IKO,Rare,1
Voracious Greatshark,IKO,Rare,1
Hunted Nightmare,IKO,Rare,0.99
Forest (272),IKO,C,0.99
Swamp (266),IKO,C,0.99
Extinction Event,IKO,Rare,0.99
Crystalline Giant,IKO,Rare,0.99
Dirge Bat,IKO,Rare,0.99
Inspired Ultimatum,IKO,Rare,0.99
Parcelbeast,IKO,U,0.99
Unpredictable Cyclone,IKO,Rare,0.92
Labyrinth Raptor,IKO,Rare,0.92
Skycat Sovereign,IKO,Rare,0.89
Quartzwood Crasher,IKO,Rare,0.87
Lavabrink Venturer,IKO,Rare,0.86
Mythos of Snapdax,IKO,Rare,0.85
Colossification,IKO,Rare,0.82
Mythos of Illuna,IKO,Rare,0.79
Cubwarden,IKO,Rare,0.76
Death's Oasis,IKO,Rare,0.74
Mythos of Vadrok,IKO,Rare,0.68
Bastion of Remembrance,IKO,U,0.65
Offspring's Revenge,IKO,Rare,0.59
Mythos of Brokkos,IKO,Rare,0.59
Plains (260),IKO,C,0.58
Plains (261),IKO,C,0.58
Plains (262),IKO,C,0.58
Swamp (267),IKO,C,0.58
Swamp (268),IKO,C,0.58
Mountain (270),IKO,C,0.58
Mountain (271),IKO,C,0.58
Forest (273),IKO,C,0.58
Forest (274),IKO,C,0.58
Mountain (269),IKO,C,0.58
Call of the Death-Dweller,IKO,U,0.55
Regal Leosaur,IKO,U,0.5
Mystic Subdual,IKO,U,0.5
Frillscare Mentor,IKO,U,0.5
Ominous Seas,IKO,U,0.5
Frondland Felidar,IKO,Rare,0.5
Cunning Nightbonder,IKO,U,0.5
Reconnaissance Mission,IKO,U,0.5
Dire Tactics,IKO,U,0.5
Neutralize,IKO,U,0.5
Insatiable Hemophage,IKO,U,0.5
Footfall Crater,IKO,U,0.49
Island (263),IKO,C,0.49
Island (264),IKO,C,0.49
Island (265),IKO,C,0.49
Reptilian Reflection,IKO,U,0.49
Porcuparrot,IKO,U,0.48
Flourishing Fox,IKO,U,0.48
Avian Oddity,IKO,U,0.47
Necropanther,IKO,U,0.47
Flame Spill,IKO,U,0.45
Easy Prey,IKO,U,0.45
Zenith Flare,IKO,U,0.44
Boneyard Lurker,IKO,U,0.43
Wingspan Mentor,IKO,U,0.42
Duskfang Mentor,IKO,U,0.42
Primal Empathy,IKO,U,0.42
Barrier Breach,IKO,U,0.42
Momentum Rumbler,IKO,U,0.42
Lead the Stampede,IKO,U,0.41
Majestic Auricorn,IKO,U,0.41
Jubilant Skybonder,IKO,U,0.41
Channeled Force,IKO,U,0.41
Pouncing Shoreshark,IKO,U,0.4
Lore Drakkis,IKO,U,0.4
Alert Heedbonder,IKO,U,0.4
Ketria Crystal,IKO,U,0.4
Savai Crystal,IKO,U,0.4
Zagoth Crystal,IKO,U,0.4
Raugrin Crystal,IKO,U,0.4
Will of the All-Hunter,IKO,U,0.4
Escape Protocol,IKO,U,0.4
Unbreakable Bond,IKO,U,0.4
Rooting Moloch,IKO,U,0.4
Charge of the Forever-Beast,IKO,U,0.4
Boon of the Wish-Giver,IKO,U,0.4
Sonorous Howlbonder,IKO,U,0.4
Blitz of the Thunder-Raptor,IKO,U,0.4
Chittering Harvester,IKO,U,0.4
Skull Prophet,IKO,U,0.4
Stormwild Capridor,IKO,U,0.39
Auspicious Starrix,IKO,U,0.39
Archipelagore,IKO,U,0.39
Glowstone Recluse,IKO,U,0.39
Of One Mind,IKO,C,0.39
Back for More,IKO,U,0.39
Clash of Titans,IKO,U,0.39
Exuberant Wolfbear,IKO,U,0.39
General's Enforcer,IKO,U,0.39
Valiant Rescuer,IKO,U,0.39
Fight as One,IKO,U,0.39
Proud Wildbonder,IKO,U,0.38
Huntmaster Liger,IKO,U,0.38
Pollywog Symbiote,IKO,U,0.38
Indatha Crystal,IKO,U,0.38
Trumpeting Gnarr,IKO,U,0.37
Titanoth Rex,IKO,U,0.37
Grimdancer,IKO,U,0.36
Savai Thundermane,IKO,U,0.36
Ivy Elemental,IKO,U,0.35
Keensight Mentor,IKO,U,0.35
Sanctuary Smasher,IKO,U,0.35
Mysterious Egg,IKO,C,0.35
Swallow Whole,IKO,U,0.35
Splendor Mare,IKO,U,0.35
Void Beckoner,IKO,U,0.35
Weaponize the Monsters,IKO,U,0.35
Monstrous Step,IKO,U,0.35
Sanctuary Lockdown,IKO,U,0.35
Hornbash Mentor,IKO,U,0.35
Zagoth Mamba,IKO,U,0.34
Drannith Stinger,IKO,C,0.31
Bushmeat Poacher,IKO,C,0.26
Fertilid,IKO,C,0.26
Whisper Squad,IKO,C,0.26
Fire Prophecy,IKO,C,0.26
Keep Safe,IKO,C,0.26
Farfinder,IKO,C,0.26
Heightened Reflexes,IKO,C,0.25
Memory Leak,IKO,C,0.25
Glimmerbell,IKO,C,0.25
Thieving Otter,IKO,C,0.25
Ferocious Tigorilla,IKO,C,0.25
Boot Nipper,IKO,C,0.25
Corpse Churn,IKO,C,0.25
Prickly Marmoset,IKO,C,0.25
Dark Bargain,IKO,C,0.25
Excavation Mole,IKO,C,0.25
Mutual Destruction,IKO,C,0.25
Survivors' Bond,IKO,C,0.25
Scoured Barrens,IKO,C,0.25
Thornwood Falls,IKO,C,0.25
Patagia Tiger,IKO,C,0.25
Pyroceratops,IKO,C,0.25
Tentative Connection,IKO,C,0.25
Helica Glider,IKO,C,0.25
Frost Lynx,IKO,C,0.25
Spontaneous Flight,IKO,C,0.25
Garrison Cat,IKO,C,0.25
Tranquil Cove,IKO,C,0.25
Nightsquad Commando,IKO,C,0.25
Wind-Scarred Crag,IKO,C,0.25
