color,CMC,value
Black,1,7
Black,2,8
Black,3,12
Black,4,9
Black,5,5
Black,6,2
Black,7,1
Black,8,1
Blue,1,5
Blue,2,12
Blue,3,12
Blue,4,6
Blue,5,3
Blue,6,2
Blue,7,3
Blue,8,0
Green,1,4
Green,2,2
Green,3,3
Green,4,2
Green,5,0
Green,6,0
Green,7,0
Green,8,0
Red,1,3
Red,2,14
Red,3,11
Red,4,7
Red,5,3
Red,6,3
Red,7,2
Red,8,0
White,1,0
White,2,7
White,3,8
White,4,6
White,5,4
White,6,4
White,7,0
White,8,0
Multi,1,4
Multi,2,9
Multi,3,13
Multi,4,9
Multi,5,5
Multi,6,1
Multi,7,1
Multi,8,0
Colorless,1,3
Colorless,2,13
Colorless,3,11
Colorless,4,10
Colorless,5,7
Colorless,6,2
Colorless,7,0
Colorless,8,0
